q,density,realpsi,imagpsi,phase
-7.63,2.9386417209544287e-26,-3.4645885313151967e-14,1.678871044494252e-13,-381.5
-7.628,3.029699606751031e-26,-5.2021259050644355e-14,1.6610474007172722e-13,-381.4
-7.626,3.123554058785454e-26,-6.939468707825007e-14,1.6254204992298545e-13,-381.3
-7.624,3.220290184547498e-26,-8.658554312698597e-14,1.5718093258051317e-13,-381.2
-7.622,3.319995657416586e-26,-1.0340950954287703e-13,1.5002143150319388e-13,-381.1
-7.62,3.422760793278404e-26,-1.1968038155321952e-13,1.4108229585621235e-13,-381.0
-7.618,3.5286786294061157e-26,-1.3521194697094154e-13,1.304013638363819e-13,-380.90000000000003
-7.616,3.6378450056735774e-26,-1.4981992407521305e-13,1.1803575901748238e-13,-380.79999999999995
-7.614,3.7503586481675334e-26,-1.6332393926586355e-13,1.0406189189302606e-13,-380.7
-7.612,3.866321255270437e-26,-1.755495251067958e-13,8.857526058377043e-14,-380.6
-7.61,3.9858375862846674e-26,-1.8633011856180679e-13,7.169004658660574e-14,-380.5
-7.608,4.109015552673423e-26,-1.955090386015518e-13,5.353850345154556e-14,-380.4
-7.606,4.2359663119940705e-26,-2.0294142193291211e-13,3.4270138368387784e-14,-380.3
-7.604,4.366804364603548e-26,-2.0849609538350133e-13,1.405068880409054e-14,-380.2
-7.602,4.5016476532154744e-26,-2.1205736347277046e-13,-6.939101464315447e-15,-380.1
-7.6,4.640617665393402e-26,-2.1352668992408122e-13,-2.85049003506291e-14,-380.0
-7.598,4.783839539065116e-26,-2.1282425232340885e-13,-5.044039069667448e-14,-379.9
-7.596,4.93144217114662e-26,-2.0989034981279516e-13,-7.25290477459113e-14,-379.8
-7.594,5.083558329366312e-26,-2.0468664461988787e-13,-9.454607769714645e-14,-379.7
-7.592,5.240324767382629e-26,-1.9719721936678148e-13,-1.162605020969536e-13,-379.59999999999997
-7.59,5.401882343290767e-26,-1.8742943346663007e-13,-1.3743737083954195e-13,-379.5
-7.588,5.568376141618832e-26,-1.7541456349820345e-13,-1.578400846709196e-13,-379.4
-7.586,5.739955598912637e-26,-1.6120821423652949e-13,-1.7723280636438498e-13,-379.3
-7.584,5.916774633015868e-26,-1.4489048899950993e-13,-1.9538293816923107e-13,-379.2
-7.582,6.098991776151606e-26,-1.2656591013202863e-13,-2.1206364175399639e-13,-379.09999999999997
-7.58,6.286770311917289e-26,-1.0636308277211136e-13,-2.270563756919983e-13,-379.0
-7.578,6.48027841630582e-26,-8.44340975103619e-14,-2.40153424586594e-13,-378.90000000000003
-7.576,6.679689302870316e-26,-6.095367014184714e-14,-2.511603932250108e-13,-378.79999999999995
-7.574,6.885181372152916e-26,-3.611801939586192e-14,-2.598986386967991e-13,-378.7
-7.572,7.096938365502788e-26,-1.014348628806061e-14,-2.662076132287576e-13,-378.6
-7.57,7.315149523408193e-26,1.673509845352288e-14,-2.69947090582271e-13,-378.5
-7.568,7.540009748477043e-26,4.4266289612953004e-14,-2.7099924924005344e-13,-378.4
-7.566,7.771719773198031e-26,7.21841332705891e-14,-2.692705862807042e-13,-378.3
